,CONCEPT,Ambai (Yapen) [amk],Araki [akr],As [asz],Bierebo (Yevali) [bnk],Biga (Misool) [xmt],Buli [bzq],Futuna-Aniwa (Aniwa) [fut],Gimán [gzn],Irarutu [irh],Kasira (Irahutu) [irh],Lelepa [lpa],Maskelynes [klv],Minyaifuin (Gebe) [gei],Numfor [bhw],Paama (Lironesa) [pma],Pulau (Arguni) [agf],Roria [rga],Vao [vao],Waropen [wrp],Windesi Wandamen [wad]
136,to come,-ma,m̈a,-ma,-βirimi,mata,làfa,mai,wom,ma,-ma,nei,-ᵑgomai,-eo pelima,rāma,-amai,-ma,sna,-m̈e,rama,ra|ma
137,to cook,i-nunu,,-biap,meno,-blap,[n]dak,komo,soang,tün,-matune,maso,i-manuᵑku,-fafɔn,[fa]fnap,mas,-fo...,naⁿd,monp̈er,baro,kundur
138,to count,i-eto,,-wanɔs,-wuluia,-awuf,etaŋ,taua,hayofan,nif,-efə,βeβe,-peruŋ,-tɔŋɔ,kor,-hulhuli,uferam,ⁿduⁿduŋ,-v̈ev̈e,,
139,to cry,i-sai,řaŋi,-tanis,-saŋi,-tinis,taŋis,taŋi,tangis,tag,-me|tage,kai,-taŋ,-tenis,kanĕs,-amis,-tagis,ŋar,-taŋ,[k]aniko,sai[se]
140,"to cut, hack",i-kutui,rai,-wɛʔ,-teia,-kut,tekis,saua,tipal,ntifn,-ma|totə,taea,-tai,-aspei,karuk,-tei,orar,ntˢiᵐp,-tei,aro,tara
141,"to die, be dead",reha,m̈are,ma-ʔ,-mere,-mat,mat,mače,mot,-mat,-matə,mat,-mat,-mat,mār,-mat,-mat,nat,-m̈at,fero,voru
142,to dig,i-sarai,xeli,-kail,-kilia,-kelɛ,tiu,keria,ólai,gar,mə|garə,kili,-xeri,-alai,er,-ili,-ʔe,βeβet,-ɣeli,ei,sarai
143,to dream,-miai,,,,-mñal,mafŋél,,bibúf,n-ɪn si,ginə-mesi,,,masŋel,mafu,,[ga-vaʔanev] sinin...,,,anina,ena-mia
144,to drink,i-unu,inu,-nim,-munia,-inim,dom,ñimia,imin,in,-gin[e],munu,-müni,-dom,inĕm,-muni,-umun,ntˢin,-muni,una,unu[m]
145,to eat,i-ampi,hania,-aʔ,-kina·na,-apon,ān,kai,fon,ga,-ga,fam,-xani,-anan,ān,-ani,-madenan,ɣanɣen,-ɣenɣan,ano,api
146,to fall,i-tawa,,-mdɔl,-čoru,-tak,pawil,to,mtat,mtɪt,-mə|titi,roa,-tex,-sobi,mĕmgokĕf,-mot,,ᵐben,-sov̈,mo[ko],tawa
147,to fear,i-matai,m̈araxu,-msi,-mira,-mtat,am-cait,mtaku,kiak,mtat,-mta-t|e,pʷlak,-metax,-mtait,mkāk,-metau,gamberad,ma-nataɣut,-m̈ataɣ,akako,matai(t)
148,to flow,deda,,-apis,-mio,cag,yoli,tafe,gasi,srswir,-nevovo,sara,-leβ,nderer,ki,-(mu)we,,m-alyel,-harhar,mo,dira
